id,artist
0,"Michael Dahl"
1,"William Aikman"
2,"William Kent"
3,"Charles Jervas"
4,"Luke Cradock"
5,"S. Scott"
6,"Allan Ramsay"
7,"John Wootton"
8,"J. Vanderbank"
9,"Frank Hayman"
10,"William Hogarth"
11,"Francis Hayman"
12,"Sir Joshua Reynolds"
13,"Richard Wilson"
14,"Thomas Hudson"
15,"Thomas Gainsborough"
16,"P. H. De Loutherbourg"
17,"George Romney"
18,"Angelica Kauffman"
19,"Joseph Wright of Derby"
20,"Wheatley"
21,"S Woodford"
22,"J H Mortimer"
23,"George Stubbs"
24,"Sawrey Gilpin"
25,"Zoffany"
26,"Joseph Farrington"
27,"W Hamilton"
28,"H. Fuseli"
29,"Benjamin West"
30,"John Singleton Copley"
31,"William Hodges"
32,"J. F. Rigaud"
33,"James Northcote"
34,"Henry Howard"
35,"Philip Reinagle"
36,"Henry Thomson"
37,"William Owen"
38,"John Opie"
39,"George Morland"
40,"Patrick Nasmyth"
41,"William Daniel"
42,"George Dawe"
43,"Thomas Daniel"
44,"Sir M. A. Shee"
45,"Rev. William Peters"
46,"Alex. Nasmyth"
47,"G. H. Harlowe"
